Deal Title,Person Name,Email,Phone,Budget,Source,Interest,Status,Loss Reason
Сделка с Зиновьев Евстафий Матвеевич,Зиновьев Евстафий Матвеевич,ekaterina_2018@example.net,84306491604,6044,email,Недвижимость,open,
Сделка с Дарья Константиновна Боброва,Дарья Константиновна Боброва,ermil_16@example.net,+7 (528) 834-11-44,1803,email,Авто,open,
Сделка с Лидия Филипповна Баранова,Лидия Филипповна Баранова,kulikovspartak@example.com,8 (194) 360-0690,6417,email,Косметика,open,
Сделка с Мечислав Борисович Михеев,Мечислав Борисович Михеев,gkotova@example.net,8 (491) 457-6080,14903,facebook,Недвижимость,open,
Сделка с Вишняков Милан Матвеевич,Вишняков Милан Матвеевич,kononovaljudmila@example.org,+7 256 288 38 21,2929,прямой заход,Авто,lost,нет времени
Сделка с Чернова Раиса Эльдаровна,Чернова Раиса Эльдаровна,prokofi58@example.net,8 (680) 115-8463,2903,facebook,Недвижимость,open,
Сделка с Горбачев Осип Адрианович,Горбачев Осип Адрианович,timofeevvseslav@example.com,+7 (287) 694-44-51,9397,email,Косметика,won,
Сделка с Евпраксия Рудольфовна Ильина,Евпраксия Рудольфовна Ильина,fedotovaviktorija@example.org,8 338 324 8278,14145,email,Электроника,won,
Сделка с Агафья Семеновна Коновалова,Агафья Семеновна Коновалова,konon_2010@example.net,8 669 222 9131,9213,facebook,Электроника,won,
Сделка с Дарья Валентиновна Юдина,Дарья Валентиновна Юдина,hristofor60@example.com,8 (659) 453-0243,8027,facebook,Образование,won,
Сделка с Виталий Бориславович Третьяков,Виталий Бориславович Третьяков,dkapustin@example.org,+75159716547,12384,instagram,Образование,open,
Сделка с Милица Кузьминична Никитина,Милица Кузьминична Никитина,nestor_1996@example.org,89537360495,7503,google,Недвижимость,won,
Сделка с Аверкий Яковлевич Лебедев,Аверкий Яковлевич Лебедев,dmitriprohorov@example.net,+7 (498) 211-2506,12490,facebook,Косметика,open,
Сделка с Артемьева Агафья Валентиновна,Артемьева Агафья Валентиновна,anikita2001@example.com,+76595277714,1320,instagram,Образование,open,
Сделка с Тетерин Филипп Ермилович,Тетерин Филипп Ермилович,ljubomir16@example.net,8 (087) 017-4986,5235,прямой заход,Косметика,open,
Сделка с Ширяев Любим Ануфриевич,Ширяев Любим Ануфриевич,vladilen2001@example.com,+7 (506) 096-0419,8780,facebook,Косметика,won,
